Angle	Intensity
29.802	3.42E-02
29.819	1.52E-03
29.836	3.11E-04
29.853	1.89E-02
29.87	2.42E-02
29.887	1.50E-02
29.904	1.82E-02
29.921	8.60E-04
29.938	1.72E-02
29.955	3.36E-02
29.972	-1.15E-02
29.989	1.14E-02
30.006	2.70E-02
30.023	2.66E-02
30.04	8.52E-03
30.057	3.66E-02
30.074	2.00E-02
30.091	-6.78E-03
30.108	5.92E-03
30.125	1.28E-02
30.142	4.01E-02
30.159	4.99E-02
30.176	1.87E-02
30.193	2.99E-02
30.21	4.04E-02
30.227	1.95E-02
30.244	5.11E-03
30.261	2.15E-02
30.278	1.00E-02
30.295	1.32E-02
30.312	2.89E-02
30.329	1.96E-02
30.346	2.28E-02
30.363	2.53E-02
30.38	1.75E-02
30.397	9.00E-03
30.414	2.83E-02
30.431	2.86E-02
30.448	1.42E-02
30.465	2.62E-02
30.482	2.86E-02
30.499	3.70E-02
30.516	3.36E-02
30.533	3.53E-02
30.55	3.49E-02
30.567	2.71E-02
30.584	2.37E-02
30.601	2.25E-02
30.618	1.26E-02
30.635	1.28E-02
30.652	2.48E-02
30.669	3.46E-02
30.686	2.10E-02
30.703	2.27E-02
30.72	1.79E-02
30.737	1.67E-02
30.754	2.43E-02
30.771	2.39E-02
30.788	3.22E-02
30.805	2.95E-02
30.822	2.32E-02
30.839	2.65E-02
30.856	1.28E-02
30.873	2.78E-02
30.89	2.95E-02
30.907	2.61E-02
30.924	3.37E-02
30.941	4.13E-02
30.958	2.48E-02
30.975	2.80E-02
30.992	2.10E-02
31.009	3.95E-02
31.026	3.18E-02
31.043	4.60E-02
31.06	3.75E-02
31.077	1.80E-02
31.094	3.44E-02
31.111	4.79E-02
31.128	3.57E-02
31.145	5.79E-02
31.162	3.92E-02
31.179	5.71E-02
31.196	6.98E-02
31.213	6.79E-02
31.23	4.55E-02
31.247	5.09E-02
31.264	5.27E-02
31.281	4.93E-02
31.298	3.94E-02
31.315	4.55E-02
31.332	5.75E-02
31.349	5.63E-02
31.366	6.54E-02
31.383	6.20E-02
31.4	5.50E-02
31.417	3.12E-02
31.434	2.78E-02
31.451	4.49E-02
31.468	3.72E-02
31.485	2.58E-02
31.502	2.83E-02
31.519	3.95E-02
31.536	2.59E-02
31.553	2.92E-02
31.57	2.21E-02
31.587	1.44E-02
31.604	1.03E-02
31.621	2.74E-02
31.638	1.75E-02
31.655	2.36E-02
31.672	2.25E-02
31.689	1.54E-02
31.706	1.50E-02
31.723	2.12E-02
31.74	3.24E-02
31.757	2.03E-02
31.774	2.13E-02
31.791	1.94E-02
31.808	1.90E-02
31.825	3.54E-02
31.842	1.01E-02
31.859	-1.31E-03
31.876	2.39E-02
31.893	5.87E-03
31.91	-4.09E-04
31.927	3.13E-02
31.944	1.99E-02
31.961	2.17E-02
31.978	3.52E-02
31.995	1.94E-02
32.012	2.04E-02
32.029	2.51E-02
32.046	2.17E-02
32.063	2.06E-02
32.08	6.25E-03
32.097	1.46E-02
32.114	2.22E-02
32.131	2.32E-02
32.148	-4.25E-03
32.165	-7.61E-03
32.182	-8.77E-03
32.199	1.35E-02
32.216	2.47E-02
32.233	2.43E-02
32.25	2.02E-02
32.267	3.15E-02
32.284	2.16E-02
32.301	9.42E-03
32.318	1.12E-02
32.335	5.13E-04
32.352	1.54E-03
32.369	3.18E-02
32.386	2.63E-02
32.403	1.56E-02
32.42	1.81E-02
32.437	1.99E-02
32.454	1.65E-02
32.471	8.76E-03
32.488	1.05E-02
32.505	1.74E-02
32.522	1.92E-02
32.539	1.36E-02
32.556	2.12E-02
32.573	1.79E-02
32.59	2.84E-02
32.607	2.50E-02
32.624	1.22E-02
32.641	2.56E-02
32.658	2.52E-02
32.675	2.48E-02
32.692	3.31E-02
32.709	3.27E-02
32.726	1.69E-02
32.743	6.93E-03
32.76	2.77E-02
32.777	3.90E-02
32.794	2.70E-03
32.811	3.88E-02
32.828	6.69E-02
32.845	2.55E-02
32.862	2.51E-02
32.879	2.76E-02
32.896	5.49E-02
32.913	6.62E-02
32.93	3.43E-02
32.947	4.48E-02
32.964	5.17E-02
32.981	2.27E-02
32.998	4.50E-02
33.015	3.72E-02
33.032	3.68E-02
33.049	1.66E-02
33.066	3.88E-02
33.083	2.52E-02
33.1	3.65E-02
33.117	2.29E-02
33.134	3.85E-02
33.151	3.29E-02
33.168	2.00E-02
33.185	-8.76E-04
33.202	1.99E-02
33.219	3.85E-02
33.236	2.56E-02
33.253	2.81E-02
33.27	2.32E-02
33.287	2.64E-02
33.304	2.45E-02
33.321	2.84E-02
33.338	3.68E-02
33.355	1.36E-02
33.372	4.42E-03
33.389	1.35E-02
33.406	2.69E-02
33.423	3.45E-02
33.44	2.89E-02
33.457	2.92E-02
33.474	2.44E-02
33.491	2.90E-02
33.508	3.66E-02
33.525	1.57E-02
33.542	1.30E-02
33.559	2.72E-02
33.576	1.94E-02
33.593	2.19E-02
33.61	1.63E-02
33.627	2.02E-02
33.644	3.95E-02
33.661	2.59E-02
33.678	2.32E-02
33.695	2.26E-03
33.712	9.11E-03
33.729	2.18E-02
33.746	3.23E-02
33.763	6.97E-03
33.78	4.45E-02
33.797	1.77E-02
33.814	1.43E-02
33.831	1.97E-02
33.848	2.95E-02
33.865	7.78E-03
33.882	1.54E-02
33.899	1.85E-02
33.916	2.61E-02
33.933	2.12E-02
33.95	2.51E-02
33.967	1.22E-02
33.984	1.47E-02
34.001	4.67E-03
34.018	1.95E-02
34.035	1.03E-02
34.052	9.79E-03
34.069	7.11E-03
34.086	2.05E-02
34.103	2.88E-02
34.12	2.83E-02
34.137	2.49E-02
34.154	1.93E-02
34.171	2.24E-02
34.188	1.90E-02
34.205	3.10E-02
34.222	2.46E-02
34.239	3.29E-02
34.256	2.51E-02
34.273	1.36E-02
34.29	2.26E-02
34.307	1.92E-02
34.324	1.50E-02
34.341	2.40E-02
34.358	2.20E-02
34.375	2.44E-02
34.392	2.32E-02
34.409	2.41E-02
34.426	1.71E-02
